lat,lng
25.00939,121.45494
25.00855,121.45719
25.00925,121.45663
25.0108,121.45723
25.00998,121.45916
25.00618,121.45302
25.0066,121.45552
25.01509,121.4566
25.01889,121.45135
25.02629,121.45451
25.01274,121.45522
25.01477,121.45353
25.00976,121.45329
25.01791,121.45858
25.02117,121.45598
25.01981,121.45859
25.01916,121.45877
25.01484,121.45971
25.01652,121.45924
25.01529,121.46161
25.00952,121.45932
25.01545,121.46428
25.0221,121.45991
25.01942,121.46433
25.01826,121.46795
25.01927,121.46886
25.0221,121.46649
25.02161,121.47009
25.02935,121.46914
25.03192,121.4664
25.0335,121.47098
25.02461,121.4685
25.03164,121.46029
25.0283,121.4619
25.02358,121.46181
25.02784,121.45954
25.02448,121.45649
25.02833,121.46392
25.02547,121.46501
25.02979,121.47459
25.03463,121.47668
25.0266,121.47794
25.02396,121.47385
25.02726,121.47328
25.03026,121.47808
25.03251,121.4773
25.0325,121.47956
25.03044,121.48171
25.02756,121.48203
25.02511,121.4815
25.02203,121.48115
25.02268,121.48485
25.02001,121.48556
25.01909,121.48153
25.01563,121.48006
25.01203,121.47942
25.00959,121.47382
25.01615,121.47811
25.01773,121.47151
25.01751,121.47624
25.02084,121.47316
25.02223,121.4762
25.02066,121.47844
25.02,121.47615
25.0096,121.46721
25.01385,121.4687
25.015,121.4705
25.01474,121.47542
25.01296,121.47145
25.01091,121.46396
25.0056,121.46822
25.00738,121.46906
25.00514,121.46561
25.00319,121.46417
25.00655,121.46035
25.00191,121.46019
25.00233,121.45802
24.99951,121.46465
24.99993,121.46083
24.99599,121.46107
24.99811,121.45931
24.99366,121.46157
24.99146,121.46097
25.00239,121.45468
25.00018,121.45752
24.9932,121.45162
24.99623,121.45061
24.9934,121.45744
25.00838,121.44879
25.01499,121.4464
25.0059,121.44471
25.00087,121.44706
25.00181,121.44489
25.00224,121.44685
24.99648,121.44284
25.00323,121.44179
24.99924,121.44094
24.99536,121.4321
24.98671,121.42654
24.98981,121.42852
25.0164,121.45182
25.02044,121.4584
25.02204,121.46241
25.02706,121.46833
25.02592,121.45784
25.02403,121.47098
25.01759,121.48053
25.01345,121.47819
25.0134,121.47404
25.00579,121.46271
25.00484,121.45757
24.98827,121.43187
24.99396,121.43378
25.0126,121.45273
25.01415,121.45875
25.02265,121.46453
25.0261,121.46191
25.02831,121.47549
25.02821,121.47895
25.01364,121.48056
25.01931,121.47092
25.01159,121.47246
24.9929,121.46489
24.98456,121.42877
25.00959,121.44534
25.00459,121.44181
25.07059,121.47262
25.06548,121.47574
25.05946,121.47091
25.05294,121.47468
25.04909,121.46971
25.04922,121.47885
25.05058,121.48937
25.05442,121.48578
25.05238,121.49065
25.06096,121.48799
25.06268,121.48804
25.05769,121.48551
25.06036,121.48493
25.0598,121.48276
25.06471,121.48189
25.06707,121.47921
25.06713,121.48192
25.06259,121.48274
25.06469,121.48451
25.05719,121.49048
25.05411,121.49472
25.05569,121.49677
25.05645,121.49873
25.0589,121.49242
25.05722,121.49344
25.05946,121.49329
25.05776,121.49418
25.06073,121.4941
25.05946,121.49435
25.05939,121.49553
25.05773,121.49585
25.06124,121.49806
25.05948,121.49794
25.05798,121.49707
25.06228,121.50006
25.06036,121.49993
25.0627,121.5013
25.06004,121.5016
25.06213,121.50301
25.06358,121.50334
25.06232,121.49416
25.06533,121.49418
25.06381,121.49326
25.06538,121.49096
25.06752,121.49269
25.06272,121.49771
25.06393,121.49738
25.0664,121.49614
25.06735,121.49637
25.06802,121.49468
25.06424,121.49932
25.0672,121.49775
25.06848,121.49701
25.06364,121.50115
25.06592,121.4996
25.06866,121.49923
25.06593,121.50192
25.06692,121.50119
25.06566,121.50364
25.06499,121.50331
25.06651,121.50223
25.06799,121.50365
25.06885,121.50165
25.06898,121.5039
25.06921,121.50024
25.06999,121.50196
25.07066,121.50301
25.07299,121.50228
25.07334,121.49961
25.07236,121.50024
25.07182,121.49648
25.07061,121.49652
25.07098,121.49439
25.07168,121.49323
25.06935,121.4957
25.069,121.49008
25.07028,121.48826
25.06845,121.4833
25.07639,121.50071
25.07508,121.50173
25.07506,121.49894
25.07455,121.49681
25.07333,121.49167
25.07435,121.49283
25.07227,121.49414
25.07139,121.48671
25.07345,121.4869
25.07663,121.48599
25.07644,121.48165
25.07853,121.48126
25.07456,121.48328
25.07218,121.48315
25.07805,121.49227
25.07605,121.49002
25.07839,121.49855
25.08264,121.49593
25.08004,121.49385
25.0793,121.48613
25.07961,121.48488
25.08135,121.48672
25.08012,121.48393
25.08339,121.48893
25.08164,121.49004
25.08424,121.49485
25.08844,121.49069
25.08512,121.49408
25.08386,121.4904
25.08595,121.48675
25.04779,121.47427
25.06726,121.47638
25.05276,121.48705
25.07495,121.48628
25.07206,121.47857
25.07553,121.47716
25.07434,121.47995
25.07066,121.48787
25.07807,121.48761
25.08221,121.48443
25.08018,121.49644
25.00789,121.49023
25.00024,121.48708
24.99848,121.48356
24.99435,121.48393
24.99507,121.48759
24.9952,121.49172
25.00038,121.49562
24.99823,121.49704
24.99536,121.49758
25.00078,121.50564
24.99922,121.50332
25.00118,121.49998
25.00369,121.4961
25.00402,121.49814
25.0056,121.50173
25.00475,121.49976
24.99857,121.50056
25.00308,121.50479
25.00612,121.5026
24.99958,121.51348
24.99663,121.5094
25.00003,121.51006
25.00284,121.51228
24.99779,121.50739
24.99641,121.5008
24.99663,121.50363
24.99387,121.52117
24.99291,121.52369
24.99584,121.52434
24.99036,121.52685
24.99321,121.51556
24.98986,121.5196
24.99529,121.51818
24.98339,121.50624
24.97931,121.50713
24.98568,121.51206
24.98355,121.51153
24.98511,121.50975
24.98694,121.51363
24.98855,121.51556
24.97354,121.48944
24.97763,121.50063
24.98643,121.50497
24.98862,121.50464
24.99156,121.5022
24.99371,121.50073
24.99364,121.51039
24.99138,121.50982
24.99165,121.5066
24.99482,121.50719
24.99594,121.50484
24.98497,121.4902
24.98545,121.49369
24.99857,121.50056
25.00578,121.48003
25.00234,121.47585
25.00648,121.47884
24.99733,121.47714
24.99644,121.48252
25.00212,121.47907
24.99903,121.47817
25.00204,121.48315
25.00588,121.47326
24.9968,121.47345
24.99856,121.46829
24.99949,121.47012
25.00321,121.47232
25.00525,121.46978
25.00328,121.46928
24.99531,121.46699
24.99695,121.46679
24.99245,121.51946
24.99277,121.49765
24.99729,121.51395
24.99539,121.51137
24.99431,121.52518
24.99128,121.51613
24.98927,121.51209
24.9901,121.51396
24.98857,121.50879
24.98844,121.5007
24.991,121.50539
24.99501,121.48987
24.99909,121.4913
24.99067,121.48858
24.98821,121.49592
25.00447,121.47596
25.01091,121.47875
24.99407,121.47866
25.00236,121.47367
25.00154,121.47118
24.9836,121.50669
24.99518,121.49898
25.00906,121.52272
25.01542,121.51057
25.01006,121.5185
25.00931,121.51825
25.01418,121.51234
25.00659,121.52049
25.00762,121.52424
24.9988,121.51736
25.01752,121.5105
25.01643,121.50826
25.00139,121.52087
25.00266,121.52308
25.01134,121.50278
25.01226,121.50991
25.0054,121.51526
24.99835,121.51933
24.99792,121.52069
25.01319,121.5177
25.01451,121.51666
25.00363,121.526
25.00359,121.52762
25.0151,121.51459
25.01042,121.52213
25.00117,121.50813
25.00402,121.51084
25.00572,121.51083
25.00789,121.51212
25.01814,121.5129
25.01669,121.51523
25.00216,121.51569
24.99875,121.51568
25.00884,121.51544
25.00658,121.50829
24.99852,121.52559
25.00002,121.52798
25.01745,121.51763
25.01588,121.51849
25.00582,121.51902
25.00282,121.51875
24.99549,121.51514
25.01455,121.50615
25.0146,121.50638
25.01025,121.51292
25.00936,121.51022
25.00926,121.52055
25.01311,121.50702
25.00554,121.52202
25.00658,121.52566
24.99833,121.52338
25.00054,121.5253
25.01417,121.52025
25.01783,121.51693
25.01157,121.51572
25.0112,121.51873
25.01275,121.52204
25.00645,121.51575
25.01226,121.51374
25.01325,121.51428
24.99712,121.52735
25.00017,121.5235
25.0067,121.51358
25.00923,121.50705
25.0332,121.44416
25.05296,121.46373
25.03074,121.44238
25.03355,121.447
25.06145,121.46361
25.03083,121.44647
25.03602,121.44421
25.03934,121.45545
25.02604,121.43031
25.03449,121.44935
25.04191,121.45435
25.02177,121.42454
25.03521,121.45248
25.04426,121.45035
25.01216,121.43263
25.03614,121.45279
25.04568,121.44881
25.02082,121.44032
25.03526,121.45551
25.04689,121.45155
25.02377,121.4177
25.04113,121.46622
25.04888,121.45018
25.02652,121.42056
25.0419,121.45947
25.03801,121.45466
25.02227,121.4222
25.0476,121.45695
25.04282,121.4488
25.05046,121.45789
25.03922,121.44477
25.01975,121.42616
25.05252,121.45879
25.04299,121.44669
25.01929,121.42909
25.04519,121.46444
25.04436,121.44542
25.01027,121.42866
25.04277,121.45676
25.03694,121.43507
25.01642,121.42708
25.04647,121.4544
25.0388,121.40696
25.01545,121.42522
25.04545,121.45597
25.02857,121.41683
25.05027,121.45446
25.02762,121.41044
25.04859,121.45461
25.02129,121.41298
25.04617,121.45291
25.06017,121.45122
25.05658,121.44781
25.05072,121.44784
25.02132,121.42286
25.0274,121.4285
25.0478,121.44871
25.0467,121.44921
25.04364,121.44294
25.03678,121.44691
25.04772,121.45867
25.05432,121.4438
25.05258,121.45644
25.05726,121.45542
25.03747,121.44921
25.02422,121.4217
25.02061,121.42008
25.03086,121.43219
25.02546,121.42593
25.0257,121.43494
25.01875,121.42388
25.06509,121.45777
25.05264,121.45717
25.0535,121.45555
25.05114,121.45047
25.04878,121.44553
25.03095,121.44917
25.02761,121.42153
25.02253,121.41667
25.02928,121.41407
25.02272,121.42864
25.01853,121.42718
25.0154,121.42887
25.01393,121.42713
24.97711,121.53929
24.97951,121.53979
24.97975,121.53721
24.98138,121.53987
24.98554,121.53181
24.98004,121.55048
24.98141,121.5439
24.98651,121.54208
24.99016,121.53535
24.99281,121.53559
24.95005,121.53022
24.96816,121.52654
24.95744,121.51736
24.96454,121.50916
24.98673,121.51883
24.9577,121.51263
24.95607,121.5005
24.94439,121.4921
24.94418,121.47588
24.94866,121.49459
24.92491,121.51655
24.9556,121.55515
24.95722,121.57356
24.94626,121.58478
24.93446,121.56056
24.92213,121.56067
24.89349,121.56627
24.88901,121.5114
24.94129,121.53522
24.95028,121.55036
24.95563,121.53711
24.96121,121.53747
24.954,121.54147
24.95704,121.54043
24.95987,121.53943
24.96289,121.54277
24.96038,121.54549
24.96528,121.53707
24.96671,121.54098
24.97226,121.54528
24.96734,121.5414
24.97731,121.5441
24.97549,121.54216
24.97192,121.5383
24.96967,121.53864
24.97495,121.5383
24.97541,121.53596
24.97785,121.53534
24.97599,121.53292
24.97223,121.53501
24.97278,121.53101
24.97955,121.52807
24.98169,121.52778
24.97648,121.5252
24.94951,121.49879
24.97457,121.51739
24.94574,121.49547
24.97173,121.55038
24.94643,121.49978
24.93487,121.489
24.9736,121.54129
24.98291,121.53737
24.95632,121.53034
24.94672,121.5099
24.96487,121.54915
24.98294,121.51649
24.98471,121.51923
24.93855,121.50398
24.92139,121.5028
25.01741,121.41437
25.0149,121.40866
25.01221,121.39768
25.01402,121.42012
24.99531,121.42762
24.99651,121.41917
24.99027,121.42452
24.99394,121.41991
24.99028,121.42106
24.9871,121.41887
24.98818,121.41561
24.99088,121.41186
24.98826,121.42417
24.97873,121.41376
24.98302,121.42275
24.97246,121.4165
24.98043,121.42284
24.98138,121.40281
24.98179,121.41407
24.98382,121.41376
24.97443,121.3805
24.95437,121.40128
24.95308,121.37361
24.94655,121.3845
24.96115,121.39442
24.95551,121.38837
24.99178,121.42626
25.00098,121.42866
24.99102,121.41734
24.99291,121.42337
25.00161,121.40733
25.00199,121.41821
24.97762,121.42642
24.99872,121.42492
24.97104,121.39987
24.97923,121.38984
24.98835,121.42095
24.9815,121.41805
24.98044,121.41773
25.00883,121.42175
25.00498,121.4244
25.01283,121.41299
24.95512,121.35905
24.96133,121.35204
24.95438,121.34998
24.95724,121.3565
24.9548,121.35343
24.96303,121.3696
24.95111,121.34663
24.9527,121.34035
24.94486,121.35783
24.94619,121.33983
24.93703,121.32841
24.93281,121.33948
24.97287,121.35734
24.97742,121.33734
24.96881,121.33419
24.97466,121.3282
24.95781,121.33398
24.9679,121.34403
24.96431,121.33103
24.9549,121.34509
24.93268,121.36863
24.93431,121.37085
24.92951,121.36832
24.92871,121.36135
24.91361,121.34381
24.93439,121.36913
24.93203,121.37594
24.92514,121.33618
24.9406,121.3795
24.89467,121.36468
24.90403,121.39338
24.89427,121.37988
24.87747,121.38093
24.85514,121.36537
24.86549,121.41
24.83981,121.44867
24.94268,121.40292
24.92834,121.39942
24.93312,121.41125
24.93154,121.42788
24.91431,121.46602
24.90089,121.43642
24.92145,121.38261
24.92635,121.37031
24.9184,121.3723
24.90329,121.35088
24.93439,121.36913
24.93439,121.36913
25.22681,121.49131
25.23708,121.46181
25.22894,121.45943
25.21701,121.45318
25.21514,121.47899
25.20684,121.44479
25.20468,121.46878
25.1937,121.43417
25.19287,121.44641
25.18138,121.44046
25.17797,121.45035
25.18247,121.46044
25.18574,121.48337
25.19312,121.47966
25.16646,121.48511
25.15879,121.48022
25.12971,121.46261
25.13836,121.46585
25.14534,121.4724
25.15299,121.46276
25.16402,121.45574
25.17177,121.45592
25.17503,121.45409
25.17215,121.43985
25.17124,121.44144
25.17074,121.44016
25.17457,121.43952
25.17325,121.43748
25.17269,121.43666
25.17473,121.43446
25.17638,121.4341
25.18067,121.42872
25.18876,121.41946
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.16972,121.44077
25.06842,121.65879
25.06714,121.65679
25.06605,121.65207
25.06997,121.66317
25.07667,121.66612
25.06209,121.66062
25.06725,121.66438
25.06173,121.65299
25.05495,121.67736
25.07751,121.66979
25.06874,121.68317
25.075,121.68353
25.08509,121.66155
25.07466,121.65637
25.0876,121.65056
25.12115,121.62983
25.09887,121.62955
25.05706,121.63397
25.07349,121.63155
25.07098,121.62345
25.04232,121.65447
25.04716,121.62884
25.05217,121.70438
25.0431,121.6235
25.03985,121.62763
25.0669,121.63387
25.08355,121.63639
25.07254,121.66111
25.06755,121.648
25.0626,121.64453
25.05879,121.65408
25.05695,121.65286
25.07526,121.63543
25.0674,121.63585
25.06857,121.63702
