exercise expenditure,income/person/year,obestity prevalence(%),smoke and nuts,year
5.796,645.937168,39.68,8.6471,102
8.684,913.3955527,35.95,7.4226,102
5.102,652.9518751,38.74,8.1654,102
5.414,589.3075124,38.15,9.146,102
5.843,650.0840673,41.88,8.4401,102
4.59,610.1464641,41.1,11.6018,102
5.866,666.9191689,34.05,10.6103,102
4.907,735.0536503,42.21,8.7971,102
4.44,599.8379556,44.71,9.6409,102
4.83,553.6126188,40.69,7.5065,102
3.832,553.1335866,40.18,10.4697,102
3.918,568.5554348,43.46,8.5723,102
3.283,528.2444903,46.04,14.9502,102
4.558,560.5760322,45.78,10.2178,102
5,553.7562507,47.52,14.1825,102
5.075,631.467074,45.98,10.6992,102
5.034,594.594261,41.19,11.5097,102
5.847,629.5170997,40.18,12.3574,102
6.361,819.6189938,37.22,12.1469,102
5.05,690.5297464,38.68,8.7662,102
6.704,640.777095,39.08,8.8229,103
8.567,926.9523529,38,7.5658,103
6.953,706.3632979,40.13,11.3331,103
6.39,677.9547059,37.11,9.5716,103
5.791,576.7383721,39.21,7.796,103
6.104,654.2864706,39.64,9.0527,103
5.164,641.5179641,41.95,10.5073,103
5.35,743.0229947,38.69,10.916,103
4.443,618.0247191,41.87,12.2904,103
4.88,566.6096386,40.67,7.8399,103
4.931,585.7012739,43.21,10.9619,103
4.298,561.7733766,43.04,10.1276,103
4.492,519.3460526,41.49,11.9121,103
4.242,562.6222973,42.31,11.2372,103
4.968,581.9496454,44.11,14.0504,103
4.793,589.4609589,46.19,11.383,103
5.342,638.8315068,40.3,9.7192,103
5.576,594.6335404,40.42,9.1502,103
5.823,861.6377049,36.72,10.0336,103
5.167,701.7951515,39.49,8.7514,103
6.995,665.8967545,41.51,8.453433086,104
9.089,898.8064074,35.89,6.646098393,104
7.054,699.0151271,39.75,10.85235544,104
5.942,687.754648,40.6,9.898909882,104
6.167,575.4818122,41.35,8.459515307,104
6.413,670.1138449,40.04,8.777331481,104
5.427,648.223422,38.87,13.52276278,104
5.811,742.1939036,38.79,9.510519433,104
4.528,596.592275,39.83,9.191361725,104
4.974,532.5958584,41.86,8.026432674,104
4.496,539.1163772,40.78,10.02512024,104
3.912,561.9679968,44.46,9.517922643,104
4.396,546.4675532,42.9,11.34454718,104
4.168,557.5753889,45.9,10.16113603,104
4.484,533.5575755,49.44,11.24873335,104
4.688,604.382712,46.97,10.25636985,104
5.355,528.4641225,41.61,7.314745304,104
5.666,649.9594066,42.22,10.73904022,104
6.687,793.0954304,38.33,11.77966796,104
5.231,686.9591535,36.52,10.37223533,104
